Job_Loc,industry_compsize,usetime,score,review_title,review_body,review_pro,review_con
,Used the Software for: 6-12 months,Reviewer Source,5.0,Very pleasant.,,,
Principal Cofounder in US,"Biotechnology, 2–10 Employees",Used the Software for: 1-5 months,4.0,Works Well Enough,"On the overall Shopify has been easy to use and, compared to Wordpress, easy to maintain. If you want to set up a merchandising site, this one of your best options.","Shopify lets you set up an online store without too much hassle. It's easier to use than Wordpress, but maybe a little bit tougher than Squarespace. In any case, someone without a ton of experience, but a little bit of time, can put together a presentable Shopify site.","My main issue right now is the blogging feature, which is not as rich or customizable as Wordpress. There is a decent chance your online store won't need flashy blogs, or any blogs at all, so this may not be a deal breaker."
"Law Practice, 1,001–5,000 Employees",Used the Software for: 1-5 months,Reviewer Source,1.0,Poor customer service,,,
Writer in UK,"Health, Wellness & Fitness, Self Employed",Used the Software for: 1-5 months,5.0,Shopify review,"Great service, great value for money, possibly my favourite software for business purposes at the moment. Great for drop shipping or print on demand.","It's the perfect platform for a low cost start up business.
There are guided tips to help set up your store which are very helpful.
The legal templates (privacy and refund policy and terms of service) provided are very suitable and only need minor tweaks.
The analytics section is very useful for identifying customer trends.","The free trial I quite short compared to other softwares e.g 30 day free trials. The shopify free trial is only 14 days, this can be hard to utilize for someone who works a lot."
"E-Learning, 2–10 Employees",Used the Software for: 6-12 months,Reviewer Source,5.0,Shopify is wonderful,,,
Freelancer in Greece,"Writing & Editing, Self Employed",Used the Software for: Free Trial,5.0,Shopify is Good Reliable site for serious and hard workers with focus,"I had had an overall good, and positive and pleasant experience, with Shopify, everything working well, properly, all facilties provided from site, with always transparency and everything explained to detail. The staff provides feedback, and sends you by email all updates of site, frequently and encourages user to work on Shopify, by providing everything you request from it at no time.","The site provides many opportunities for creative and customized work. Well organized with a very interesting structure, that helps sellers, markerers, and sellers of digital or non digital products who have shops and will ship the products to buyers. You have to be both, professional and have spirit of Businessman. It's also encouraged for single workers, such as sellers for ex. of digital products who want to work seriously and consistently and make some money, or more money, by exploring more relevant opportunities of site.","Actually, there is nothing negative with Shopify, only, but this is the way that site just works, due kind of it's activity, you have to be patient, and work with focus, to detail, and just be seller, or marketer, only, following instructions and specifications of site, but there is more space for creation and customized work if you want. For ex. if you speak many languages, this is a plus for those who speak more than at least one or two languages well."
Production Accountant in US,"Entertainment, 11–50 Employees",Used the Software for: 6-12 months,5.0,Great for e-commerce,,,
Engineer in US,"Oil & Energy, 10,000+ Employees",Used the Software for: 1+ year,5.0,Great software to start ecommerce,,,
Web Admin in Canada,"Religious Institutions, 51–200 Employees",Used the Software for: 2+ years,5.0,"Almost every feature we needed, Shopify had",I always enjoy going on Shopify to update a new product with the PDF version of one of our books. I've never had any difficulty that a bit of research couldn't fix. The site is reliable and downtime is negligible.,"Shopify makes for a good-looking eCommerce store. There are many great features, and after we added a 3rd party plugin to allow customers to purchase digital files, it could do everything we needed it to do.","The cost to benefit is not quite at the right place for my superiors. I think we're going to go a different direction for just that reason.
Some of the features are a little hard to find/navigate to considering I don't need to make changes to Shopify weekly."
Salesman in Netherlands,"Machinery, 51–200 Employees",Used the Software for: 6-12 months,5.0,The ecommerce software for dropshipping,,,
telemarking in Georgia,"Telecommunications, 1,001–5,000 Employees",Used the Software for: 6-12 months,5.0,Shopify,I solve all the problems which connects about shopping for home or for work.,"I love shopping, but because of my job i cant go from shop to shop. so this app is helpful for me to buy things.",there are nothing i dont like about this app as a person who use it. i have no any permissions about it.
Responsable Digital & Business Planning in Guinea,"Accounting Software, 2–10 Employees",Used the Software for: Free Trial,5.0,Shopify,,,
Entrepreneur in US,"Graphic Design Software, Self Employed",Used the Software for: 2+ years,5.0,Best e-commerce store builder,,,
Food in US,"Food & Beverages, Self Employed",Used the Software for: 6-12 months,4.0,This was the boost I needed!,My overall experience with Shopify was great. I love it and will continue to be a customer.,I like how smoothe it works it’s a easy process and customer service is very helpful as well.,"I liked least about this software that I had to pay, it was well worth it though."
Co-Owner | Web Dev in US,"Marketing & Advertising, 2–10 Employees",Used the Software for: 1+ year,5.0,Shopify - E-Comm Must Have,"Easy to use, great platform, no heavy plugins or scripts running constantly.",It's really easy to understand and learn to work with. The code runs crisply as well.,I can't think of anything other than having to learn the language.
Data Scientist in UK,"Marketing & Advertising, 51–200 Employees",Used the Software for: 1+ year,5.0,Fantastic software that has enabled clients of ours to run an online store with no prior experience,"As already mentioned, the time saved by the Merchant Center integration is superb as well as it removing the most tedious aspect of setting up a google shopping account.","It's integration with Google Merchant Center, taking the extremely arduous task of building a product data feed and completely automating it, saving me hours of work a month",Its interface is a little unintuitive for more high-level work as you can tell it was built with simplicity in mind and so the more complex features are somewhat hidden or only available through third-party apps
Freelancer in US,"Arts & Crafts, Self Employed",Used the Software for: 6-12 months,5.0,A Simple Review of Shopify,"Shopify helped with managing orders, inventory, shipping, and payments. My experience as a new store owner was easier than I expected. I was very impressed.",Shopify allows store owners to utilize many different marketplaces to market their online stores. Shopify has many features that help store owners build their stores like a website maker. Shopify is also compatible with all social media platforms. Shopify also has many management tools to help you manage your store.,The subscription and transaction fees add up and seem more expensive in the end. Shopify is a confusing to use when you start building your store.
freelancer in Morocco,"Computer Software, Self Employed",Used the Software for: 1+ year,5.0,Shopify Review,it's a great choice for building a store with a high features.,"to be honest shopify it's one of the greatest ecommerce platforms that i ever used
it comes with an unlimited storage, and it gives you everything to get amazing success
it offer 24/7 helping team if you need a hand
it's easy to use for beginners","what i did not like in Shopify is the pricing is a little bit high compared with the other platforms, and the SEO needs some development"
Solution Designer/Business Analyst in Hong Kong,"Internet, 51–200 Employees",Used the Software for: 2+ years,4.0,,,,
Administrative assistant in Mexico,"Food & Beverages, 2–10 Employees",Used the Software for: 1+ year,4.0,Great tool for online business,"In general it’s been great, really useful and affordable. Also it’s great if you want to edit the appearance for your business colors and logo.",I love that you can visualize all of the sales transactions in all your devices and also the payments. During the pandemics we implement this page at our work place and it works excellent. It’s a great tool for small business with an affordable price.,The only ‘bad’ thing is that the payments are reflected 15 days later.
Senior IT Assistant in Ghana,"E-Learning, 501–1,000 Employees",Used the Software for: 1-5 months,5.0,Shopify to Amplify Your Business,Shopify is an excellent and flexible content management platform.,The drag and drop feature of Shopify which makes it easy and flexible to set up a store for my drop shipping business. Not forgetting the free trial which allows newbies to make some cash before they invest.,Shopify should please provide us with more options to enable us rank organically (SEO). I can wait to see how using Shopify will automatically help my website or store very searchable.
Founder & CEO in Bahamas,"Computer Software, 2–10 Employees",Used the Software for: 1+ year,5.0,Super easy to setup an eCommerce shop!,,,
"Information Technology & Services, 51–200 Employees",Used the Software for: 1+ year,Reviewer Source,5.0,Simple customizable shopping cart,Happily recommend this to any friends trying to set up a simple online shop.,"You get professional-looking results in minutes. Building up something even remotely good looking will take weeks and thousands of dollars. With Shopify, you can get your cart up and running in minutes. People with no website design skills can create an excellent-looking website that is super easy to maintain.","Loading products can be tedious. There's lots of information to input, images to upload, etc, so a more streamlined process could make everything a little easier."
,Used the Software for: 6-12 months,Reviewer Source,5.0,Very pleasant.,,,
Principal Cofounder in US,"Biotechnology, 2–10 Employees",Used the Software for: 1-5 months,4.0,Works Well Enough,"On the overall Shopify has been easy to use and, compared to Wordpress, easy to maintain. If you want to set up a merchandising site, this one of your best options.","Shopify lets you set up an online store without too much hassle. It's easier to use than Wordpress, but maybe a little bit tougher than Squarespace. In any case, someone without a ton of experience, but a little bit of time, can put together a presentable Shopify site.","My main issue right now is the blogging feature, which is not as rich or customizable as Wordpress. There is a decent chance your online store won't need flashy blogs, or any blogs at all, so this may not be a deal breaker."
"Law Practice, 1,001–5,000 Employees",Used the Software for: 1-5 months,Reviewer Source,1.0,Poor customer service,,,
Writer in UK,"Health, Wellness & Fitness, Self Employed",Used the Software for: 1-5 months,5.0,Shopify review,"Great service, great value for money, possibly my favourite software for business purposes at the moment. Great for drop shipping or print on demand.","It's the perfect platform for a low cost start up business.
There are guided tips to help set up your store which are very helpful.
The legal templates (privacy and refund policy and terms of service) provided are very suitable and only need minor tweaks.
The analytics section is very useful for identifying customer trends.","The free trial I quite short compared to other softwares e.g 30 day free trials. The shopify free trial is only 14 days, this can be hard to utilize for someone who works a lot."
"E-Learning, 2–10 Employees",Used the Software for: 6-12 months,Reviewer Source,5.0,Shopify is wonderful,,,
Freelancer in Greece,"Writing & Editing, Self Employed",Used the Software for: Free Trial,5.0,Shopify is Good Reliable site for serious and hard workers with focus,"I had had an overall good, and positive and pleasant experience, with Shopify, everything working well, properly, all facilties provided from site, with always transparency and everything explained to detail. The staff provides feedback, and sends you by email all updates of site, frequently and encourages user to work on Shopify, by providing everything you request from it at no time.","The site provides many opportunities for creative and customized work. Well organized with a very interesting structure, that helps sellers, markerers, and sellers of digital or non digital products who have shops and will ship the products to buyers. You have to be both, professional and have spirit of Businessman. It's also encouraged for single workers, such as sellers for ex. of digital products who want to work seriously and consistently and make some money, or more money, by exploring more relevant opportunities of site.","Actually, there is nothing negative with Shopify, only, but this is the way that site just works, due kind of it's activity, you have to be patient, and work with focus, to detail, and just be seller, or marketer, only, following instructions and specifications of site, but there is more space for creation and customized work if you want. For ex. if you speak many languages, this is a plus for those who speak more than at least one or two languages well."
Production Accountant in US,"Entertainment, 11–50 Employees",Used the Software for: 6-12 months,5.0,Great for e-commerce,,,
Engineer in US,"Oil & Energy, 10,000+ Employees",Used the Software for: 1+ year,5.0,Great software to start ecommerce,,,
Web Admin in Canada,"Religious Institutions, 51–200 Employees",Used the Software for: 2+ years,5.0,"Almost every feature we needed, Shopify had",I always enjoy going on Shopify to update a new product with the PDF version of one of our books. I've never had any difficulty that a bit of research couldn't fix. The site is reliable and downtime is negligible.,"Shopify makes for a good-looking eCommerce store. There are many great features, and after we added a 3rd party plugin to allow customers to purchase digital files, it could do everything we needed it to do.","The cost to benefit is not quite at the right place for my superiors. I think we're going to go a different direction for just that reason.
Some of the features are a little hard to find/navigate to considering I don't need to make changes to Shopify weekly."
Salesman in Netherlands,"Machinery, 51–200 Employees",Used the Software for: 6-12 months,5.0,The ecommerce software for dropshipping,,,
telemarking in Georgia,"Telecommunications, 1,001–5,000 Employees",Used the Software for: 6-12 months,5.0,Shopify,I solve all the problems which connects about shopping for home or for work.,"I love shopping, but because of my job i cant go from shop to shop. so this app is helpful for me to buy things.",there are nothing i dont like about this app as a person who use it. i have no any permissions about it.
Responsable Digital & Business Planning in Guinea,"Accounting Software, 2–10 Employees",Used the Software for: Free Trial,5.0,Shopify,,,
Entrepreneur in US,"Graphic Design Software, Self Employed",Used the Software for: 2+ years,5.0,Best e-commerce store builder,,,
Food in US,"Food & Beverages, Self Employed",Used the Software for: 6-12 months,4.0,This was the boost I needed!,My overall experience with Shopify was great. I love it and will continue to be a customer.,I like how smoothe it works it’s a easy process and customer service is very helpful as well.,"I liked least about this software that I had to pay, it was well worth it though."
Co-Owner | Web Dev in US,"Marketing & Advertising, 2–10 Employees",Used the Software for: 1+ year,5.0,Shopify - E-Comm Must Have,"Easy to use, great platform, no heavy plugins or scripts running constantly.",It's really easy to understand and learn to work with. The code runs crisply as well.,I can't think of anything other than having to learn the language.
Data Scientist in UK,"Marketing & Advertising, 51–200 Employees",Used the Software for: 1+ year,5.0,Fantastic software that has enabled clients of ours to run an online store with no prior experience,"As already mentioned, the time saved by the Merchant Center integration is superb as well as it removing the most tedious aspect of setting up a google shopping account.","It's integration with Google Merchant Center, taking the extremely arduous task of building a product data feed and completely automating it, saving me hours of work a month",Its interface is a little unintuitive for more high-level work as you can tell it was built with simplicity in mind and so the more complex features are somewhat hidden or only available through third-party apps
Freelancer in US,"Arts & Crafts, Self Employed",Used the Software for: 6-12 months,5.0,A Simple Review of Shopify,"Shopify helped with managing orders, inventory, shipping, and payments. My experience as a new store owner was easier than I expected. I was very impressed.",Shopify allows store owners to utilize many different marketplaces to market their online stores. Shopify has many features that help store owners build their stores like a website maker. Shopify is also compatible with all social media platforms. Shopify also has many management tools to help you manage your store.,The subscription and transaction fees add up and seem more expensive in the end. Shopify is a confusing to use when you start building your store.
freelancer in Morocco,"Computer Software, Self Employed",Used the Software for: 1+ year,5.0,Shopify Review,it's a great choice for building a store with a high features.,"to be honest shopify it's one of the greatest ecommerce platforms that i ever used
it comes with an unlimited storage, and it gives you everything to get amazing success
it offer 24/7 helping team if you need a hand
it's easy to use for beginners","what i did not like in Shopify is the pricing is a little bit high compared with the other platforms, and the SEO needs some development"
Solution Designer/Business Analyst in Hong Kong,"Internet, 51–200 Employees",Used the Software for: 2+ years,4.0,,,,
Administrative assistant in Mexico,"Food & Beverages, 2–10 Employees",Used the Software for: 1+ year,4.0,Great tool for online business,"In general it’s been great, really useful and affordable. Also it’s great if you want to edit the appearance for your business colors and logo.",I love that you can visualize all of the sales transactions in all your devices and also the payments. During the pandemics we implement this page at our work place and it works excellent. It’s a great tool for small business with an affordable price.,The only ‘bad’ thing is that the payments are reflected 15 days later.
Senior IT Assistant in Ghana,"E-Learning, 501–1,000 Employees",Used the Software for: 1-5 months,5.0,Shopify to Amplify Your Business,Shopify is an excellent and flexible content management platform.,The drag and drop feature of Shopify which makes it easy and flexible to set up a store for my drop shipping business. Not forgetting the free trial which allows newbies to make some cash before they invest.,Shopify should please provide us with more options to enable us rank organically (SEO). I can wait to see how using Shopify will automatically help my website or store very searchable.
Founder & CEO in Bahamas,"Computer Software, 2–10 Employees",Used the Software for: 1+ year,5.0,Super easy to setup an eCommerce shop!,,,
"Information Technology & Services, 51–200 Employees",Used the Software for: 1+ year,Reviewer Source,5.0,Simple customizable shopping cart,Happily recommend this to any friends trying to set up a simple online shop.,"You get professional-looking results in minutes. Building up something even remotely good looking will take weeks and thousands of dollars. With Shopify, you can get your cart up and running in minutes. People with no website design skills can create an excellent-looking website that is super easy to maintain.","Loading products can be tedious. There's lots of information to input, images to upload, etc, so a more streamlined process could make everything a little easier."
,Used the Software for: 6-12 months,Reviewer Source,5.0,Very pleasant.,,,
Principal Cofounder in US,"Biotechnology, 2–10 Employees",Used the Software for: 1-5 months,4.0,Works Well Enough,"On the overall Shopify has been easy to use and, compared to Wordpress, easy to maintain. If you want to set up a merchandising site, this one of your best options.","Shopify lets you set up an online store without too much hassle. It's easier to use than Wordpress, but maybe a little bit tougher than Squarespace. In any case, someone without a ton of experience, but a little bit of time, can put together a presentable Shopify site.","My main issue right now is the blogging feature, which is not as rich or customizable as Wordpress. There is a decent chance your online store won't need flashy blogs, or any blogs at all, so this may not be a deal breaker."
"Law Practice, 1,001–5,000 Employees",Used the Software for: 1-5 months,Reviewer Source,1.0,Poor customer service,,,
Writer in UK,"Health, Wellness & Fitness, Self Employed",Used the Software for: 1-5 months,5.0,Shopify review,"Great service, great value for money, possibly my favourite software for business purposes at the moment. Great for drop shipping or print on demand.","It's the perfect platform for a low cost start up business.
There are guided tips to help set up your store which are very helpful.
The legal templates (privacy and refund policy and terms of service) provided are very suitable and only need minor tweaks.
The analytics section is very useful for identifying customer trends.","The free trial I quite short compared to other softwares e.g 30 day free trials. The shopify free trial is only 14 days, this can be hard to utilize for someone who works a lot."
"E-Learning, 2–10 Employees",Used the Software for: 6-12 months,Reviewer Source,5.0,Shopify is wonderful,,,
Freelancer in Greece,"Writing & Editing, Self Employed",Used the Software for: Free Trial,5.0,Shopify is Good Reliable site for serious and hard workers with focus,"I had had an overall good, and positive and pleasant experience, with Shopify, everything working well, properly, all facilties provided from site, with always transparency and everything explained to detail. The staff provides feedback, and sends you by email all updates of site, frequently and encourages user to work on Shopify, by providing everything you request from it at no time.","The site provides many opportunities for creative and customized work. Well organized with a very interesting structure, that helps sellers, markerers, and sellers of digital or non digital products who have shops and will ship the products to buyers. You have to be both, professional and have spirit of Businessman. It's also encouraged for single workers, such as sellers for ex. of digital products who want to work seriously and consistently and make some money, or more money, by exploring more relevant opportunities of site.","Actually, there is nothing negative with Shopify, only, but this is the way that site just works, due kind of it's activity, you have to be patient, and work with focus, to detail, and just be seller, or marketer, only, following instructions and specifications of site, but there is more space for creation and customized work if you want. For ex. if you speak many languages, this is a plus for those who speak more than at least one or two languages well."
Production Accountant in US,"Entertainment, 11–50 Employees",Used the Software for: 6-12 months,5.0,Great for e-commerce,,,
Engineer in US,"Oil & Energy, 10,000+ Employees",Used the Software for: 1+ year,5.0,Great software to start ecommerce,,,
Web Admin in Canada,"Religious Institutions, 51–200 Employees",Used the Software for: 2+ years,5.0,"Almost every feature we needed, Shopify had",I always enjoy going on Shopify to update a new product with the PDF version of one of our books. I've never had any difficulty that a bit of research couldn't fix. The site is reliable and downtime is negligible.,"Shopify makes for a good-looking eCommerce store. There are many great features, and after we added a 3rd party plugin to allow customers to purchase digital files, it could do everything we needed it to do.","The cost to benefit is not quite at the right place for my superiors. I think we're going to go a different direction for just that reason.
Some of the features are a little hard to find/navigate to considering I don't need to make changes to Shopify weekly."
Salesman in Netherlands,"Machinery, 51–200 Employees",Used the Software for: 6-12 months,5.0,The ecommerce software for dropshipping,,,
telemarking in Georgia,"Telecommunications, 1,001–5,000 Employees",Used the Software for: 6-12 months,5.0,Shopify,I solve all the problems which connects about shopping for home or for work.,"I love shopping, but because of my job i cant go from shop to shop. so this app is helpful for me to buy things.",there are nothing i dont like about this app as a person who use it. i have no any permissions about it.
Responsable Digital & Business Planning in Guinea,"Accounting Software, 2–10 Employees",Used the Software for: Free Trial,5.0,Shopify,,,
Entrepreneur in US,"Graphic Design Software, Self Employed",Used the Software for: 2+ years,5.0,Best e-commerce store builder,,,
Food in US,"Food & Beverages, Self Employed",Used the Software for: 6-12 months,4.0,This was the boost I needed!,My overall experience with Shopify was great. I love it and will continue to be a customer.,I like how smoothe it works it’s a easy process and customer service is very helpful as well.,"I liked least about this software that I had to pay, it was well worth it though."
Co-Owner | Web Dev in US,"Marketing & Advertising, 2–10 Employees",Used the Software for: 1+ year,5.0,Shopify - E-Comm Must Have,"Easy to use, great platform, no heavy plugins or scripts running constantly.",It's really easy to understand and learn to work with. The code runs crisply as well.,I can't think of anything other than having to learn the language.
Data Scientist in UK,"Marketing & Advertising, 51–200 Employees",Used the Software for: 1+ year,5.0,Fantastic software that has enabled clients of ours to run an online store with no prior experience,"As already mentioned, the time saved by the Merchant Center integration is superb as well as it removing the most tedious aspect of setting up a google shopping account.","It's integration with Google Merchant Center, taking the extremely arduous task of building a product data feed and completely automating it, saving me hours of work a month",Its interface is a little unintuitive for more high-level work as you can tell it was built with simplicity in mind and so the more complex features are somewhat hidden or only available through third-party apps
Freelancer in US,"Arts & Crafts, Self Employed",Used the Software for: 6-12 months,5.0,A Simple Review of Shopify,"Shopify helped with managing orders, inventory, shipping, and payments. My experience as a new store owner was easier than I expected. I was very impressed.",Shopify allows store owners to utilize many different marketplaces to market their online stores. Shopify has many features that help store owners build their stores like a website maker. Shopify is also compatible with all social media platforms. Shopify also has many management tools to help you manage your store.,The subscription and transaction fees add up and seem more expensive in the end. Shopify is a confusing to use when you start building your store.
freelancer in Morocco,"Computer Software, Self Employed",Used the Software for: 1+ year,5.0,Shopify Review,it's a great choice for building a store with a high features.,"to be honest shopify it's one of the greatest ecommerce platforms that i ever used
it comes with an unlimited storage, and it gives you everything to get amazing success
it offer 24/7 helping team if you need a hand
it's easy to use for beginners","what i did not like in Shopify is the pricing is a little bit high compared with the other platforms, and the SEO needs some development"
Solution Designer/Business Analyst in Hong Kong,"Internet, 51–200 Employees",Used the Software for: 2+ years,4.0,,,,
Marketing manager in Canada,"Health, Wellness & Fitness, 2–10 Employees",Used the Software for: 6-12 months,5.0,Great software for e-commerce,Great experience for running an e-commerce store.,I liked how easy the software was to set up and how everything is fully integrated—no need to slap together a bunch of plugins.,"If you wanted to customize aspects of your site, you need to understand how to code to make modifications."
"Hospital & Health Care, 1,001–5,000 Employees",Used the Software for: 2+ years,Reviewer Source,5.0,Shopify,"It's very familiar and easy to use, but hard to leave.","Shopify is very user-friendly, for both businesses and consumers. Its familiar and easy-to-navigate format make it trustworthy to customers.","If you do decide to change platforms, it is difficult to transfer your store over. There's definitely a sense of proprietaryness over your business (very Apple-esque)."
Owner in US,", Self Employed",Used the Software for: 6-12 months,5.0,Best Ecomerce Site!,,,
Marketing Customer Relations Manager in US,,Used the Software for: 2+ years,5.0,One of the best ecommerce service out there.,,,
Marketing and Advertising in South Africa,"Marketing & Advertising, 2–10 Employees",Used the Software for: 1-5 months,5.0,The Best Online Shop Builder for Start-Ups,I have used shopify in the last 2 months and have great pleasure and returns in it.,"It is incredible how you can start your ecomm. With little to no money. If you had to pitch a business to your friends and they would buy from you why not use that money without using your own and start your fortunes. That is how incredible this business is.
Affordability
Instant Gratification
OnTime purchases.
UX friendly and quite easy to adapt.",There is nothing bad in ecomm. Only that now shopify need to have a supplier relations video call aspect then this would be the perfect app for shop o the planet.
Owner in Australia,,Used the Software for: 6-12 months,4.0,Great for people starting an online business,,,
Software Developer in South Africa,"Information Technology & Services, 2–10 Employees",Used the Software for: 2+ years,5.0,Get on Shopify,my customer reach has been excellent around the global,"Its easy to use and making it one of the most efficient ways of getting people to open there own business while reaching a global market, from music to ecommerce and podcasting.",For now all that i need is on Shopify for my business
Owner in US,"Retail, Self Employed",Used the Software for: 1+ year,5.0,Great for the Basics,,,
Customer Service Manger in US,"Logistics & Supply Chain, 2–10 Employees",Used the Software for: 2+ years,5.0,"Simple, Easy, and Straightforward",I would characterize my overall experience as enjoyable for its simplicity and convenience.,"Shopify is incredibly convenient and easy to use. It has made my shopping process quicker, and I am able to shop with confidence in the security it offers.","It automatically defaults to the original credit card I used to set up the account. It is so easy to use, that I sometimes forget that I do not want to use that specific card. I assume I can set up multiple cards to use, but have never explored that option, so I may not have all the info. All that said, it is so easy that my purchases are automatic and I do not think through the purchase as much as I should. Not good for the budget!"
"Marketing & Advertising, 11–50 Employees",Used the Software for: 6-12 months,Reviewer Source,5.0,Using shopify as an entrepreneur,,,
Head Of Solutions in Australia,"Information Technology & Services, 51–200 Employees",Used the Software for: 6-12 months,4.0,"Good, but lacks customisability",,,
Account Executive in US,"Broadcast Media, 501–1,000 Employees",Used the Software for: 2+ years,5.0,The Go-To Solution For E-Commerce,Shopify helped me maximize my profits by providing a fully customizable e-commerce platform that had me up and running in no time.,Shopify has been the go-to platform for my online retail stores. The ease of use makes set-up quick yet the ability to fully customize your store is unparalleled.,I don't have any complaints about Shopify. The robust feature set allowed me to do everything I needed.
Senior Accounting Manager/Analyst in US,"Accounting Software, 2–10 Employees",Used the Software for: 1+ year,4.0,Great system for new and seasoned businesses,,,
billing officer in Philippines,"Hospital & Health Care, 51–200 Employees",Used the Software for: 2+ years,4.0,I love Shopify,My overall experience in Shopify is great.,The features that I like most in Shopify is you can redeem your rewards by items. You can also buy favorite items using your Gcash.,What i like least is that you need good connection of internet so that you search something it is not loading.
"Professional Training & Coaching, Self Employed",Used the Software for: 6-12 months,Reviewer Source,4.0,one of many online shop plugins out there,Tried to use it for selling services from my website. Ended up going with 3dcart after trialing Shopify,"no coding required, and is clean and simple; accessible for those with minimal digital skills. Very reasonable cost for the service provided.","This could be a pro if you know what you're doing. Anything beyond basic online sales requires customization, which isn't easy since they are aiming to cater to low-tech individuals. Plug-ins can help, but many of them have limited functions or aren't free. I spent a lot more time shopping around for how to make it fit my needs than I would have liked, and eventually ended up switching to 3dcart."
,Used the Software for: 1+ year,Reviewer Source,4.0,Shopify is a great platform for those looking for an easy-to-use online selling tool.,"Shopify is a great, simple software that makes creating an online store easy. They've organized their interface in an intuitive way, and their online support is great. I would recommend that anyone looking to make selling online easy check out Shopify.",Shopify has simplified the experience of creating and selling through an online store. This makes it possible for anyone to sell their products without having to know a lot about coding or website customization. Shopify's UI is straight-forward and they have a lot of online support articles that help people who run into issues.,"I sometimes found Shopify a little too simplified. I like the ability to customize anything and everything where I want to and that can be difficult (and sometimes not possible) on Shopify. If you're not conerned about ultimate customizability, then the pre-defined editing tools in Shopify will work just fine."
Digital Instructor in Poland,,Used the Software for: 1-5 months,4.0,Shopify is the best tool for online shopping,It is so easy to use and navigate. All features and threats are under your hand. Recommended application.,"Shopify provides great tools and features to create and work with e-commerce websites. It will give you an excellent opportunity to start selling online and modify your website with their pretty nice templates. And if you are providing electron and ordinary services, Shopify would be great also to create this kind of sites.","Customer Care Service is not helping too much, always getting answers later. And I will complain about prices, prices are a little bit higher. Otherwise, everything is okay, and with few improvements, it can become the best one on market."
Optimisation Consultant in India,"Information Technology & Services, 201–500 Employees",Used the Software for: 6-12 months,5.0,The best and easiest way to start selling online,,,
"Consumer Goods, 201–500 Employees",Used the Software for: Free Trial,Reviewer Source,4.0,Great ecommerce solution!,Great for ecommerce for both small to large businesses. Easy to setup and plenty of themes and apps to choose from! Definitely worth the extra bucks.,Super easy to setup an online store in a minutes (obviously designing and adding products take time but you get the point). I like that I also don’t have to worry about hosting my store since Shopify does that for that. They also give you a generic domain but can easy use your own. Plenty of features and customizing a store was easy. A lot of the themes have built in live previews which was nice.,Pricing is a bit on the higher side but it makes up for it. The 100 variant limit can also be an issue (but rarely).
SEO specialist in Poland,"Marketing & Advertising, Self Employed",Used the Software for: 1+ year,5.0,Successful e-commerce solution,"Shopify can be trusted - for example, I don't have to be concerned about the custom URL feature - I can safely assume that Shopify will redirect the previous URL to a new one, so my SEO remains intact.","The most impressive thing about Shopify is that it is both powerful and simple to use, which is the biggest struggle of platforms that want to secure their users with a number of features.","Like most e-commerce solution they don't have an email solution, and don't give as much flexibility in terms of easily customizing the front-end."
student in India,"Computer Software, 51–200 Employees",Used the Software for: 6-12 months,5.0,Review on Shopify,"Everything is perfect and fantastic about the item ,however the client assistance ought to get to the next level",Shopify is an incredible stage for buying items at sensible prices. And the item quality is exceptionally perfect and worth the cash,"Items are perfect, however, the client support given by them is most horrendously terrible they even won't answer for sends and didn't offer the right responses for the inquiry we have posed. I have requested an item because of certain reasons I have to return it yet the client assistance didn't answer me it has been 2 months. I am exceptionally disheartened by them"
,,Used the Software for: 6-12 months,5.0,Best Ecommerce Platform,"We have used several platforms before Shopify. The ease of use, overall scalability and integrations, makes it the most powerful web hosting for any e-commerce store (non-custom)","Easy plugins / apps (FBA, SEO, Shipstation, Xero, Etc), compatible with any liquid theme, an easy dashboard for editing principal components.",Lack of refined SEO tracking / errors
I should have done this years ago!! in Australia,"Education Management, Self Employed",Used the Software for: 1-5 months,5.0,I should have switched to shopify years ago,I am loving my new store. Migrating products from my old e-commerce store was a breeze and I’m kicking myself for not switching ages ago,The fact that it auto populates to Facebook to create an online store and makes setting up a vendor account on Pinterest a breeze. My sales have boomed since switching from another e commerce site that was charging the same,It’s taken a while to learn the features and set up collections and categories but now I have the hang of it it is amazing
Manager in Latvia,"Marketing & Advertising, 2–10 Employees",Used the Software for: 6-12 months,5.0,Shopify - go to platform to start ecommerce,I was pleased with the simplicity of the platform and many options and extra apps to be easily integrated.,I liked simple and easy to use platform even for me as a beginner. Even free templates were easy to customize to your liking. Adding products to the store also was really thought out. With no previous experience in design - you can easily rely on the color patterns and designed templates to create an appealing e-commerce store.,The support was not always available because of the massive amount of users. Many integrations were not available in my location. Especially payment options were not so easy to integrate.
Stratège de marketing numérique - Digital marketing strategist in Canada,"Luxury Goods & Jewelry, 11–50 Employees",Used the Software for: 1+ year,5.0,Shopify may appear expensive but it is worth every penny!,,,
Showroom Consultant in US,"Wholesale, 501–1,000 Employees",Used the Software for: 1+ year,5.0,Customer's say it has ease of use,,,
"Director, Revenue Analytics in US","Retail, 51–200 Employees",Used the Software for: 1+ year,5.0,Easy,,,
E-commerce assitant in Mexico,"Internet, Self Employed",Used the Software for: 6-12 months,5.0,Shopify is perfect for your new small business,"I´ve using it for a while, and I´m having a good experience selling my products with this software","I like that it is a very easy software to use, and it is difficult for you to get lost","Obviously, it is not as good as the expensive, but own online pages"
